CREATED_DATE,BIRTH_DATE,GENDER,LAST_REWARDS_LOGIN,STATE,SIGN_UP_PLATFORM,SIGN_UP_SOURCE,ID
2021-11-15T17:11:56.712Z,1987-05-15T05:00:00Z,transgender,2023-01-04T16:55:32Z,NJ,andrioid,Facebook,619294dce9b3d75037b0d8fa
2021-04-20T12:43:49.041Z,1981-09-21T05:00:00Z,prefer_not_to_say,2023-01-04T16:45:35Z,NJ,,Email,607ecc8586fda42918dfb2fb
2021-08-18T23:17:00.808Z,1963-10-13T04:00:00Z,male,2023-01-04T17:03:16Z,SC,ios,Apple,611d94ecc9c88754a8a867e2
2021-09-05T23:24:29.61Z,1983-08-24T05:00:00Z,transgender,2023-01-04T17:03:37Z,VA,unknown,Google,613551ade5e9e51723cf1195
2021-07-01T20:40:04.887Z,1980-07-20T04:00:00Z,male,2023-01-04T16:23:42Z,PA,,Facebook,60de282413a6767c9a18e4ef
2021-09-24T20:32:48.113Z,2001-03-13T04:00:00Z,male,2023-01-04T16:24:59Z,CT,ios,Apple,614e35f0a77e5b35a4d636fe
2021-01-23T20:47:04.203Z,1976-01-04T07:00:00Z,prefer_not_to_say,2023-01-04T16:18:31Z,CA,,Facebook,600c8b4842acf712c2ae5829
2021-07-07T21:39:58.468Z,1974-11-02T00:00:00Z,transgender,2023-01-04T16:11:14Z,FL,ios,Apple,60e61f2e2c9f1e476b465e23
2021-01-17T18:14:34.378Z,1961-05-13T05:00:00Z,male,2023-01-04T16:13:11Z,RI,andrioid,Email,60047e8a2d7db612a69d2e18
2021-07-30T01:32:16.573Z,1976-07-26T00:00:00Z,transgender,2023-01-04T16:02:17Z,IL,unknown,Apple,610356a07576717ecaaae848
2021-02-21T21:07:12.54Z,1979-03-28T05:00:00Z,prefer_not_to_say,2023-01-04T16:05:00Z,NY,ios,Email,6032cb807d464912dab4dc1e
2021-09-30T22:49:38.455Z,1990-09-22T00:00:00Z,female,2023-01-04T16:02:48Z,NY,unknown,Google,61563f02c2fb93212136ecd8
2021-02-06T02:04:41.575Z,1972-08-22T00:00:00Z,transgender,2023-01-04T16:28:38Z,PA,unknown,Facebook,601df93929b8ac12cbf13f0c
2021-10-11T00:54:40.533Z,1972-12-22T00:00:00Z,prefer_not_to_say,2023-01-04T16:32:11Z,IL,andrioid,Facebook,61638b504dd7b131dc5131c1
2021-02-03T21:58:10.295Z,1990-06-10T00:00:00Z,prefer_not_to_say,2023-01-04T16:15:36Z,GA,ios,Email,601b1c7228dcde12ba4bdd11
2021-08-04T17:45:40.556Z,1982-08-02T00:00:00Z,male,2023-01-04T16:11:12Z,SC,,Email,610ad244f2757978316f7976
2021-03-21T02:18:33.574Z,1966-11-22T04:00:00Z,female,2023-01-04T16:30:57Z,PR,andrioid,Google,6056acf9379c7462d16f9fec
2021-12-04T23:39:54.678Z,1985-07-08T00:00:00Z,prefer_not_to_say,2023-01-04T16:24:38Z,PA,ios,Apple,61abfc4a7c22c7641cc0c577
2021-05-26T20:15:35.375Z,1967-02-06T00:00:00Z,prefer_not_to_say,2023-01-04T16:13:47Z,FL,,Email,60aeac67642e1616f4256972
2021-08-12T20:43:59.122Z,1965-11-23T00:00:00Z,prefer_not_to_say,2023-01-04T16:30:34Z,NC,,Facebook,6115880fa009af1799ef9104
2021-07-14T06:54:50.541Z,2005-06-04T08:00:00Z,transgender,2023-01-04T16:31:48Z,CA,,Google,60ee8a3a8802c76ea7cf6824
2021-05-02T21:42:52.123Z,1959-04-30T08:00:00Z,male,2023-01-04T16:23:22Z,CA,ios,Email,608f1cdc21235772622ea116
2021-04-07T20:59:19.634Z,1958-12-31T16:59:51Z,male,2023-01-04T16:29:09Z,OH,,Google,606e1d27428a045904b8beb7
2021-10-24T15:31:09.048Z,1969-01-04T04:00:00Z,prefer_not_to_say,2023-01-04T16:05:50Z,FL,andrioid,Apple,61757c3da9619d4881912d84
2021-02-01T02:38:55.701Z,1979-08-01T06:00:00Z,male,2023-01-04T16:05:06Z,MN,,Apple,601769bf3dedd212c85f049b
2021-12-14T18:47:07.476Z,1998-11-11T06:00:00Z,female,2023-01-04T16:14:59Z,MO,ios,Google,61b8e6ab3c43881d14ba868d
2021-09-21T22:16:47.642Z,2001-12-22T06:00:00Z,prefer_not_to_say,2023-01-04T16:19:20Z,MS,ios,Facebook,614a59cfa4e2a6269fbfc478
2021-01-12T19:22:30.766Z,1978-11-16T05:00:00Z,prefer_not_to_say,2023-01-04T16:41:53Z,WV,,Facebook,5ffdf6f6224dc11273156070
2021-08-14T20:16:48.166Z,1960-04-08T00:00:00Z,transgender,2023-01-04T16:39:52Z,NC,ios,Facebook,611824b05433742b094b3c3d
2021-07-18T21:50:40.846Z,1986-09-26T05:00:00Z,prefer_not_to_say,2023-01-04T16:37:33Z,NH,ios,Apple,60f4a230d0e8bc176abf1809
2021-01-10T18:38:32.13Z,1977-02-18T04:00:00Z,transgender,2023-01-04T16:39:05Z,NY,ios,Facebook,5ffb49a847903912705e9a64
2021-10-14T01:18:25.055Z,1999-09-13T04:00:00Z,transgender,2023-01-04T17:03:07Z,NY,unknown,Email,61678561d7bd1d50be05189b
2021-12-07T18:24:40.491Z,1977-12-05T05:00:00Z,transgender,2023-01-04T16:33:55Z,FL,andrioid,Email,61afa6e86c3fb07ec47e1315
2021-02-02T03:57:08.121Z,1967-04-04T05:00:00Z,transgender,2023-01-04T17:03:55Z,LA,andrioid,Apple,6018cd94fc88db12a7195d85
2021-02-20T17:37:30.324Z,1972-02-28T05:00:00Z,female,2023-01-04T17:02:26Z,GA,andrioid,Email,603148dac629ac12dd7ca0ca
2021-04-12T16:31:23.287Z,1975-01-06T04:00:00Z,prefer_not_to_say,2023-01-04T16:36:37Z,WV,andrioid,Email,607475dbdc5e904b8a919b52
2021-12-11T07:15:33.916Z,1970-11-18T04:00:00Z,female,2023-01-04T16:52:08Z,CT,,Apple,61b450154d2ff607dab7c0aa
2021-10-02T17:58:09.975Z,1976-04-04T00:00:00Z,transgender,2023-01-04T16:39:16Z,TX,,Facebook,61589db15526ad3d997de6d7
2021-10-22T01:48:49.908Z,1988-12-12T05:00:00Z,female,2023-01-04T16:53:17Z,WI,,Email,6172188165abe727fff3dbfd
2021-12-10T19:48:45.409Z,1977-12-24T05:00:00Z,female,2023-01-04T17:03:39Z,AL,,Google,61b3af1deae64d29568176d7
2021-09-11T22:59:18.989Z,2003-12-15T00:00:00Z,transgender,2023-01-04T16:42:17Z,TX,andrioid,Apple,613d34c6e0d23951391429c2
2021-01-05T15:39:53.85Z,1985-02-03T04:00:00Z,prefer_not_to_say,2023-01-04T17:03:28Z,FL,andrioid,Apple,5ff48849291b6b12931ce51f
2021-10-23T02:43:04.309Z,1984-07-15T04:00:00Z,male,2023-01-04T16:57:47Z,NY,,Facebook,617376b8a9619d488190e0b6
2021-09-30T21:35:08.909Z,2004-03-17T07:00:00Z,transgender,2023-01-04T17:03:51Z,CA,andrioid,Google,61562d8cb220b85b9614d43e
2021-03-10T14:56:46.798Z,1989-03-02T08:00:00Z,female,2023-01-04T16:48:23Z,WA,ios,Apple,6048de2ec9106b12d2b1ff61
2021-05-03T13:41:32.876Z,1990-05-11T09:42:23Z,prefer_not_to_say,2023-01-04T16:54:46Z,WV,,Facebook,608ffd8c081f0303ca513daf
2021-04-17T18:38:02.548Z,1982-12-13T13:38:14Z,male,2023-01-04T16:39:45Z,AL,andrioid,Facebook,607b2b0a0eb8310a044206ff
2021-05-19T11:41:48.351Z,1971-03-19T05:00:00Z,female,2023-01-04T16:51:36Z,NY,unknown,Facebook,60a4f97c671b6805df7d6663
2021-06-25T22:45:56.778Z,1972-05-18T05:00:00Z,male,2023-01-04T16:53:00Z,FL,,Facebook,60d65ca4ae588a0e7ade103f
2021-03-25T21:55:02.009Z,1991-08-02T05:00:00Z,male,2023-01-04T16:42:48Z,VA,andrioid,Apple,605d06b594a5c74ba447715c
2021-05-11T16:40:31.983Z,1975-07-10T04:00:00Z,female,2023-01-04T16:38:26Z,PR,andrioid,Facebook,609ab37f7a2e8f2f95ae968f
2021-10-28T15:26:23.499Z,1958-10-11T00:00:00Z,female,2023-01-04T16:43:45Z,PA,unknown,Google,617ac11f6e90120c3e9e34b8
2021-03-06T04:52:32.286Z,1966-09-13T23:52:52Z,prefer_not_to_say,2023-01-04T17:01:46Z,NJ,unknown,Email,60430a90921cb112a5d6b38f
2021-04-12T20:10:38.644Z,1982-10-18T06:00:00Z,prefer_not_to_say,2023-01-04T16:49:53Z,TX,,Google,6074a93e9e7cc537c2d23fa4
2021-09-13T01:48:22.209Z,1954-06-22T00:00:00Z,female,2023-01-04T16:57:55Z,PA,,Apple,613eade6cb3ae015c95f60fd
2021-11-11T21:27:51.767Z,1983-01-02T07:00:00Z,female,2023-01-04T16:54:02Z,AZ,unknown,Facebook,618d8ad73bad6d1e8cbca342
2021-01-18T12:55:53.812Z,1991-10-21T05:00:00Z,transgender,2023-01-04T16:51:00Z,FL,,Apple,6005855984d55512b413b64e
2021-08-14T11:42:42.806Z,2004-12-20T00:00:00Z,male,2023-01-04T16:58:17Z,MI,unknown,Facebook,6117ac329dc3666dc87c272b
2021-06-26T22:13:10.051Z,2004-03-26T05:00:00Z,female,2023-01-04T16:58:05Z,FL,ios,Email,60d7a676525ce775c13e967c
2021-01-25T12:42:29.333Z,1982-11-25T04:00:00Z,prefer_not_to_say,2023-01-04T16:56:53Z,FL,,Google,600ebcb5851f1c12afc3bc5f
2021-03-16T07:20:02.814Z,1977-01-18T04:00:00Z,prefer_not_to_say,2023-01-04T16:50:04Z,PA,unknown,Apple,60505c227fde0112d40aeb6d
2021-03-05T21:04:44.669Z,1985-01-16T15:05:07Z,transgender,2023-01-04T17:00:14Z,TN,unknown,Apple,60429cecf637a2129490d617
2021-12-21T14:35:16.542Z,1957-01-13T00:00:00Z,female,2023-01-04T16:45:31Z,IL,,Google,61c1e6242857ed334f0d331d
2021-12-18T13:46:52.726Z,1978-10-31T00:00:00Z,male,2023-01-04T16:43:49Z,PR,ios,Apple,61bde64c967d3e5934a732cd
2021-11-13T20:03:10.178Z,1967-08-19T05:00:00Z,transgender,2023-01-04T16:31:19Z,PA,andrioid,Google,619019fe5889930cbd6307dd
2021-05-17T15:41:38.216Z,2005-05-18T09:41:47Z,prefer_not_to_say,2023-01-04T16:04:07Z,UT,andrioid,Apple,60a28eb246625138db9fd213
2021-11-30T22:35:23.797Z,1959-07-16T00:00:00Z,prefer_not_to_say,2023-01-04T16:33:24Z,NC,andrioid,Apple,61a6a72b002d3d2355ca8984
2021-11-26T20:35:25.949Z,1992-01-05T04:00:00Z,female,2023-01-04T16:11:52Z,SC,andrioid,Email,61a1450d002d3d2355c92c25
2021-10-29T22:46:26.572Z,1966-11-17T00:00:00Z,female,2023-01-04T16:17:36Z,PA,,Apple,617c79c2e5e5187841b6f7aa
2021-10-07T09:27:04.332Z,1968-10-29T04:00:00Z,female,2023-01-04T16:09:12Z,PA,,Apple,615ebd681923c0302df0f5be
2021-01-06T00:45:39.054Z,1983-05-10T07:00:00Z,transgender,2023-01-04T16:13:20Z,ND,andrioid,Email,5ff50833c9d84712a21a5b46
2021-03-15T15:58:02.905Z,1978-12-28T10:58:17Z,male,2023-01-04T16:20:02Z,TX,,Email,604f840a3b30b912e5081da0
2021-05-31T15:46:00.18Z,1985-06-30T06:00:00Z,transgender,2023-01-04T16:28:15Z,TX,andrioid,Google,60b504b802a12c770d4ef155
2021-08-10T14:10:54.328Z,2003-01-24T00:00:00Z,male,2023-01-04T16:26:13Z,GA,andrioid,Apple,611288eeaa8f36199bb5cebf
2021-12-20T23:32:02.525Z,1968-10-29T07:00:00Z,female,2023-01-04T16:24:54Z,CA,andrioid,Google,61c112726655417f803b9fa3
2021-04-19T18:19:50.565Z,1971-08-08T14:20:05Z,male,2023-01-04T16:04:22Z,GA,unknown,Facebook,607dc9c6350bdb7243eeac12
2021-02-28T02:54:55.537Z,1971-03-18T21:55:09Z,prefer_not_to_say,2023-01-04T16:06:57Z,NY,ios,Email,603b05ff4a768f12cad63855
2021-12-07T19:01:18.59Z,1961-01-06T04:00:00Z,male,2023-01-04T16:24:39Z,GA,andrioid,Apple,61afaf7e0142410ddf93d31a
2021-11-27T19:46:08.395Z,1951-03-06T06:00:00Z,female,2023-01-04T16:10:25Z,IA,ios,Email,61a28b003bad6d1e8cc0648b
2021-04-24T20:12:12.201Z,1967-01-23T07:00:00Z,female,2023-01-04T16:12:12Z,AZ,andrioid,Google,60847b9c610f7b1a40c050b4
2021-06-07T05:11:17.146Z,2008-05-20T00:00:00Z,female,2023-01-04T16:33:10Z,AZ,,Facebook,60bdaa75544cfb2058a016f6
2021-12-18T19:37:07.957Z,2002-12-08T07:00:00Z,transgender,2023-01-04T16:28:34Z,CA,ios,Apple,61be38637eb02e39121cf3e3
2021-12-28T20:51:51.865Z,1968-01-24T00:00:00Z,female,2023-01-04T16:20:46Z,NC,ios,Facebook,61cb78e78b35062cc3412129
2021-11-28T15:20:12.576Z,1980-01-04T07:00:00Z,prefer_not_to_say,2023-01-04T16:28:20Z,CA,andrioid,Google,61a39e2cf998e47aad330881
2021-05-31T05:06:28.722Z,1989-01-21T04:00:00Z,prefer_not_to_say,2023-01-04T16:21:47Z,MA,andrioid,Email,60b46ed4181d94533ee9aeef
2021-07-05T13:37:20.584Z,1969-03-25T05:00:00Z,prefer_not_to_say,2023-01-04T16:13:05Z,SC,andrioid,Google,60e30b104e1a596efdc99835
2021-04-13T14:26:54.878Z,1995-06-03T10:30:12Z,female,2023-01-04T16:08:08Z,SC,unknown,Apple,6075aa2e4b7632648babb29a
2021-06-10T20:13:15.149Z,1994-11-29T00:00:00Z,prefer_not_to_say,2023-01-04T16:33:38Z,CA,ios,Apple,60c2725b9282a71bdc3b5868
2021-08-01T21:46:44.934Z,1996-05-17T07:00:00Z,male,2023-01-04T16:07:28Z,AZ,andrioid,Apple,610716441efef449f0f406d7
2021-09-29T18:01:20.07Z,2001-12-06T00:00:00Z,prefer_not_to_say,2023-01-04T16:29:58Z,TN,ios,Google,6154a9f0767ce9209afe8e87
2021-12-24T13:20:19.477Z,1970-12-06T00:00:00Z,prefer_not_to_say,2023-01-04T16:08:43Z,NJ,ios,Apple,61c5c91333c9bf3ef9f0137e
2021-12-02T02:25:45.306Z,1998-12-25T05:00:00Z,prefer_not_to_say,2023-01-04T16:17:35Z,MN,andrioid,Apple,61a82ea95e388d4f51386e08
2021-02-26T19:36:38.922Z,1968-09-06T06:00:00Z,male,2023-01-04T16:04:06Z,TX,andrioid,Email,60394dc69c7bed12e3afaa29
2021-04-13T12:48:38.249Z,1963-10-05T08:49:08Z,transgender,2023-01-04T16:07:54Z,NC,,Email,60759326f5138a502a3dbe4e
2021-11-30T01:43:19.786Z,1985-07-18T06:00:00Z,transgender,2023-01-04T16:13:00Z,TX,ios,Google,61a581b75889930cbd670960
2021-11-30T22:36:59.834Z,1956-02-27T06:00:00Z,prefer_not_to_say,2023-01-04T16:57:03Z,IA,unknown,Email,61a6a78b5889930cbd67464f
2021-01-21T03:09:29.392Z,1995-05-08T05:00:00Z,male,2023-01-04T16:44:20Z,GA,unknown,Facebook,6008f069c495eb12f301bfd7
2021-08-10T19:52:18.658Z,1991-06-15T05:00:00Z,transgender,2023-01-04T16:34:11Z,PA,andrioid,Apple,6112d8f2d23d7b75e5145661
2021-02-17T23:01:11.108Z,1951-01-28T00:00:00Z,male,2023-01-04T16:43:00Z,FL,andrioid,Apple,602da037ed583b12c5f59f12
2021-11-15T21:40:29.775Z,1990-08-01T05:00:00Z,female,2023-01-04T17:02:47Z,KY,ios,Email,6192d3cd3bad6d1e8cbdae26
2021-05-27T00:57:22.662Z,1968-01-22T05:00:00Z,female,2023-01-04T17:03:21Z,WV,andrioid,Email,60aeee72df6f743c8a9322ad
2021-10-28T22:49:14.913Z,1998-08-08T08:00:00Z,female,2023-01-04T17:03:44Z,CA,ios,Apple,617b28ea91b8c71d01ab26d4
2021-11-10T22:46:35.896Z,1970-07-26T05:00:00Z,prefer_not_to_say,2023-01-04T17:03:28Z,GA,unknown,Google,618c4bcb8fad2b2d96b6afde
2021-03-08T15:53:23.592Z,2001-02-17T05:00:00Z,male,2023-01-04T16:51:06Z,MN,,Google,60464873c7bc7312a228b523
2021-04-30T02:07:18.286Z,2002-04-25T05:00:00Z,female,2023-01-04T16:50:08Z,WI,andrioid,Facebook,608b6656c6e69a5d495e758c
2021-04-24T14:30:26.378Z,1973-03-20T10:30:47Z,transgender,2023-01-04T16:48:00Z,NY,unknown,Apple,60842b825bb7162106e1bdda
2021-06-06T19:15:52.03Z,1982-05-04T00:00:00Z,female,2023-01-04T16:51:46Z,TN,andrioid,Facebook,60bd1ee8aadd2c0fde0758f3
2021-09-23T22:32:43.293Z,1966-06-03T08:00:00Z,prefer_not_to_say,2023-01-04T16:57:43Z,AK,,Google,614d008b8f43a9763d56ba69
2021-04-04T23:45:49.572Z,1978-01-03T05:00:00Z,female,2023-01-04T16:39:54Z,IN,,Facebook,606a4fade6206c2dd61a7b99
2021-06-11T14:53:46.621Z,2003-02-09T05:00:00Z,male,2023-01-04T16:37:22Z,MI,andrioid,Email,60c378fa8df3c92d7102887a
2021-11-05T18:46:16.075Z,1954-12-17T06:00:00Z,transgender,2023-01-04T17:03:21Z,AR,ios,Apple,61857bf8db54774a0efda659
2021-08-20T01:59:09.423Z,1987-08-03T00:00:00Z,transgender,2023-01-04T16:48:38Z,OH,,Google,611f0c6d9ae2543b9fa85783
2021-11-30T17:22:24.142Z,2004-08-07T04:00:00Z,male,2023-01-04T16:27:27Z,VA,ios,Google,61a65dd09c135b462ccdfd42
2021-02-25T06:08:14.338Z,1981-05-17T05:00:00Z,prefer_not_to_say,2023-01-04T16:19:00Z,NY,ios,Email,60373ece4a768f12cabe4fb9
2021-01-14T05:54:41.987Z,1988-06-13T00:00:00Z,transgender,2023-01-04T16:24:21Z,NY,unknown,Apple,5fffdca1224dc112731f2ff4
2021-03-13T12:38:32.625Z,1981-01-18T05:00:00Z,female,2023-01-04T16:19:28Z,NY,,Facebook,604cb2486ca55412db599c91
2021-11-15T00:31:08.585Z,1972-10-25T04:00:00Z,female,2023-01-04T16:19:22Z,PA,,Facebook,6191aa4cf998e47aad2feb44
2021-08-31T19:01:26.565Z,1976-03-08T05:00:00Z,prefer_not_to_say,2023-01-04T16:13:39Z,RI,,Google,612e7c861ec1861299312776
2021-07-25T04:36:37.8Z,1993-11-15T07:00:00Z,male,2023-01-04T16:07:32Z,CA,unknown,Apple,60fcea55eb7585430ff63e08
